import time: self [us] | cumulative | imported package
import time:      1008 |       1008 |                     numpy._core._add_newdocs_scalars
import time:       428 |        428 |                     numpy._core._dtype_ctypes
import time:      1008 |       1008 |                     numpy._core._internal
import time:       438 |        438 |                     numpy._pytesttester
import time:      1007 |      38142 |                   numpy._core
import time:        37 |      38179 |                 numpy._core._multiarray_umath
import time:       642 |      38821 |               numpy.__config__
import time:       527 |        527 |                                 numpy._typing._nbit_base
import time:       530 |        530 |                                 numpy._typing._nested_sequence
import time:       360 |        360 |                                 numpy._typing._shape
import time:      2310 |       3726 |                               numpy._typing._array_like
import time:      1803 |       1803 |                               numpy._typing._char_codes
import time:      2239 |       2239 |                               numpy._typing._dtype_like
import time:       406 |        406 |                               numpy._typing._nbit
import time:       393 |        393 |                               numpy._typing._scalars
import time:       312 |        312 |                               numpy._typing._ufunc
import time:      1056 |       9931 |                             numpy._typing
import time:       462 |        462 |                               numpy.lib._stride_tricks_impl
import time:       564 |       1026 |                             numpy.lib._twodim_base_impl
import time:       319 |        319 |                               numpy.lib._array_utils_impl
import time:       333 |        651 |                             numpy.lib.array_utils
import time:       506 |        506 |                             numpy.linalg._umath_linalg
import time:      2908 |      15021 |                           numpy.linalg._linalg
import time:       416 |      15437 |                         numpy.linalg
import time:       630 |      16066 |                       numpy.matrixlib.defmatrix
import time:       448 |      16514 |                     numpy.matrixlib
import time:      1533 |       1533 |                       numpy.lib._histograms_impl
import time:      2318 |       3851 |                     numpy.lib._function_base_impl
import time:       705 |      21069 |                   numpy.lib._index_tricks_impl
import time:       782 |      21850 |                 numpy.lib._arraypad_impl
import time:      1362 |       1362 |                 numpy.lib._arraysetops_impl
import time:       535 |        535 |                 numpy.lib._arrayterator_impl
import time:       691 |        691 |                 numpy.lib._nanfunctions_impl
import time:       493 |        493 |                       numpy.lib._utils_impl
import time:       633 |       1126 |                     numpy.lib._format_impl
import time:       373 |       1498 |                   numpy.lib.format
import time:       461 |        461 |                   numpy.lib._datasource
import time:       593 |        593 |                   numpy.lib._iotools
import time:       867 |       3417 |                 numpy.lib._npyio_impl
import time:       489 |        489 |                     numpy.lib._ufunclike_impl
import time:       526 |       1015 |                   numpy.lib._type_check_impl
import time:      1096 |       2111 |                 numpy.lib._polynomial_impl
import time:       649 |        649 |                 numpy.lib._shape_base_impl
import time:       389 |        389 |                 numpy.lib._version
import time:       320 |        320 |                 numpy.lib.introspect
import time:       398 |        398 |                 numpy.lib.mixins
import time:       309 |        309 |                 numpy.lib.npyio
import time:       443 |        443 |                   numpy.lib._scimath_impl
import time:       313 |        756 |                 numpy.lib.scimath
import time:       293 |        293 |                 numpy.lib.stride_tricks
import time:       747 |      33821 |               numpy.lib
import time:       415 |        415 |               numpy._array_api_info
import time:      1786 |      78556 |             numpy
import time:       657 |      79212 |           openpyxl.compat.numbers
import time:       411 |        411 |           openpyxl.compat.strings
import time:       949 |      80571 |         openpyxl.compat
import time:        47 |      80617 |       openpyxl.compat.numbers
import time:       164 |        164 |         defusedxml
import time:       413 |        577 |       openpyxl.xml
import time:      1343 |       1343 |             openpyxl.worksheet
import time:       391 |        391 |                 openpyxl.utils.exceptions
import time:      1096 |       1487 |               openpyxl.utils.cell
import time:       838 |        838 |                   openpyxl.formula.tokenizer
import time:       389 |       1227 |                 openpyxl.formula
import time:       489 |       1715 |               openpyxl.utils.formulas
import time:       507 |       3707 |             openpyxl.utils
import time:       689 |        689 |                         openpyxl.utils.datetime
import time:       366 |        366 |                         openpyxl.descriptors.namespace
import time:       861 |       1915 |                       openpyxl.descriptors.base
import time:       390 |        390 |                           openpyxl.xml.constants
import time:       772 |       1162 |                         openpyxl.xml.functions
import time:       430 |        430 |                         openpyxl.utils.indexed_list
import time:       535 |       2126 |                       openpyxl.descriptors.sequence
import time:       435 |       4475 |                     openpyxl.descriptors
import time:       684 |        684 |                     openpyxl.descriptors.serialisable
import time:       569 |       5728 |                   openpyxl.styles.alignment
import time:       646 |        646 |                     openpyxl.styles.colors
import time:       536 |       1182 |                   openpyxl.styles.borders
import time:       607 |        607 |                   openpyxl.styles.fills
import time:       606 |        606 |                     openpyxl.descriptors.nested
import time:       757 |       1363 |                   openpyxl.styles.fonts
import time:      1370 |       1370 |                   openpyxl.styles.numbers
import time:       711 |        711 |                   openpyxl.styles.protection
import time:       685 |        685 |                     openpyxl.descriptors.excel
import time:       176 |        176 |                       array
import time:       721 |        897 |                     openpyxl.styles.cell_style
import time:       794 |       2375 |                   openpyxl.styles.named_styles
import time:       473 |      13806 |                 openpyxl.styles
import time:       522 |        522 |                   openpyxl.styles.proxy
import time:      7251 |       7251 |                   openpyxl.styles.builtins
import time:       669 |       8441 |                 openpyxl.styles.styleable
import time:       915 |        915 |                 openpyxl.worksheet.hyperlink
import time:       529 |        529 |                 openpyxl.worksheet.formula
import time:       571 |        571 |                   openpyxl.cell.text
import time:       501 |       1072 |                 openpyxl.cell.rich_text
import time:       705 |      25465 |               openpyxl.cell.cell
import time:       506 |        506 |               openpyxl.cell.read_only
import time:       397 |      26367 |             openpyxl.cell
import time:       820 |        820 |                   openpyxl.styles.differential
import time:      1498 |       2318 |                 openpyxl.formatting.rule
import time:       543 |       2860 |               openpyxl.formatting
import time:       628 |        628 |               openpyxl.worksheet.cell_range
import time:       784 |       4272 |             openpyxl.formatting.formatting
import time:       386 |        386 |               openpyxl.packaging
import time:       353 |        353 |               openpyxl.descriptors.container
import time:       614 |       1352 |             openpyxl.packaging.relationship
import time:       305 |        305 |                 openpyxl.utils.escape
import time:       658 |        963 |               openpyxl.worksheet.header_footer
import time:       443 |       1406 |             openpyxl.workbook.child
import time:       619 |        619 |             openpyxl.workbook.defined_name
import time:       644 |        644 |             openpyxl.formula.translate
import time:       525 |        525 |             openpyxl.worksheet.datavalidation
import time:       827 |        827 |             openpyxl.worksheet.page
import time:       371 |        371 |               openpyxl.utils.units
import time:       357 |        357 |               openpyxl.utils.bound_dictionary
import time:       628 |       1356 |             openpyxl.worksheet.dimensions
import time:       299 |        299 |               openpyxl.utils.protection
import time:       592 |        891 |             openpyxl.worksheet.protection
import time:      1076 |       1076 |             openpyxl.worksheet.filters
import time:       542 |        542 |             openpyxl.worksheet.views
import time:       447 |        447 |             openpyxl.worksheet.merge
import time:       409 |        409 |             openpyxl.worksheet.properties
import time:       394 |        394 |             openpyxl.worksheet.pagebreak
import time:       465 |        465 |             openpyxl.worksheet.scenario
import time:       565 |        565 |               openpyxl.worksheet.related
import time:       757 |       1321 |             openpyxl.worksheet.table
import time:      2156 |       2156 |             openpyxl.worksheet.print_settings
import time:      1510 |      51620 |           openpyxl.worksheet.worksheet
import time:       712 |        712 |             openpyxl.worksheet._reader
import time:      1113 |       1824 |           openpyxl.worksheet._read_only
import time:       462 |        462 |                   openpyxl.comments.comments
import time:       378 |        839 |                 openpyxl.comments
import time:       352 |        352 |                 openpyxl.comments.author
import time:       384 |        384 |                 openpyxl.comments.shape_writer
import time:       870 |       2443 |               openpyxl.comments.comment_sheet
import time:       417 |        417 |               openpyxl.cell._writer
import time:       519 |       3379 |             openpyxl.worksheet._writer
import time:       449 |       3827 |           openpyxl.worksheet._write_only
import time:       341 |        341 |           openpyxl.worksheet.copier
import time:       337 |        337 |             openpyxl.writer
import time:       456 |        456 |                 openpyxl.drawing.drawing
import time:       386 |        842 |               openpyxl.drawing
import time:       351 |        351 |               openpyxl.drawing.image
import time:       398 |        398 |                           openpyxl.chart.layout
import time:       379 |        379 |                           openpyxl.chart.picture
import time:       842 |        842 |                             openpyxl.drawing.colors
import time:      1178 |       1178 |                               openpyxl.drawing.effect
import time:      1403 |       2580 |                             openpyxl.drawing.fill
import time:      1775 |       1775 |                             openpyxl.drawing.line
import time:      1633 |       1633 |                             openpyxl.drawing.geometry
import time:       490 |       7319 |                           openpyxl.chart.shapes
import time:      1493 |       1493 |                             openpyxl.drawing.text
import time:       725 |        725 |                             openpyxl.chart.data_source
import time:       650 |       2867 |                           openpyxl.chart.text
import time:       444 |        444 |                           openpyxl.chart.error_bar
import time:       510 |      11916 |                         openpyxl.chart.marker
import time:       423 |      12338 |                       openpyxl.chart._3d
import time:       457 |        457 |                       openpyxl.chart.legend
import time:       487 |        487 |                       openpyxl.chart.reference
import time:       455 |        455 |                           openpyxl.chart.label
import time:       442 |        442 |                           openpyxl.chart.trendline
import time:       588 |       1484 |                         openpyxl.chart.series
import time:       348 |       1831 |                       openpyxl.chart.series_factory
import time:       408 |        408 |                       openpyxl.chart.title
import time:       494 |      16014 |                     openpyxl.chart._chart
import time:       371 |        371 |                     openpyxl.chart.descriptors
import time:       729 |        729 |                     openpyxl.chart.axis
import time:       648 |      17760 |                   openpyxl.chart.area_chart
import time:       544 |        544 |                   openpyxl.chart.bar_chart
import time:       433 |        433 |                   openpyxl.chart.bubble_chart
import time:       429 |        429 |                     openpyxl.chart.updown_bars
import time:       579 |       1008 |                   openpyxl.chart.line_chart
import time:      1191 |       1191 |                   openpyxl.chart.pie_chart
import time:      1194 |       1194 |                   openpyxl.chart.radar_chart
import time:      1218 |       1218 |                   openpyxl.chart.scatter_chart
import time:      1976 |       1976 |                   openpyxl.chart.stock_chart
import time:       740 |        740 |                   openpyxl.chart.surface_chart
import time:       626 |      26687 |                 openpyxl.chart
import time:        32 |      26718 |               openpyxl.chart._chart
import time:       457 |        457 |               openpyxl.drawing.xdr
import time:       549 |        549 |                 openpyxl.drawing.properties
import time:       570 |       1119 |               openpyxl.drawing.connector
import time:       473 |        473 |                 openpyxl.drawing.picture
import time:       335 |        335 |                 openpyxl.drawing.relation
import time:       574 |       1381 |               openpyxl.drawing.graphic
import time:       886 |      31751 |             openpyxl.drawing.spreadsheet_drawing
import time:     32005 |      32005 |             openpyxl.packaging.manifest
import time:       574 |        574 |               openpyxl.styles.table
import time:       843 |       1417 |             openpyxl.styles.stylesheet
import time:       335 |        335 |               openpyxl.workbook.external_reference
import time:       333 |        333 |                 openpyxl.workbook.function_group
import time:       561 |        561 |                 openpyxl.workbook.properties
import time:       543 |        543 |                 openpyxl.workbook.protection
import time:       430 |        430 |                 openpyxl.workbook.smart_tags
import time:       434 |        434 |                 openpyxl.workbook.views
import time:       420 |        420 |                 openpyxl.workbook.web
import time:       526 |       3244 |               openpyxl.packaging.workbook
import time:       493 |       4072 |             openpyxl.workbook._writer
import time:       357 |        357 |             openpyxl.writer.theme
import time:       684 |      70620 |           openpyxl.writer.excel
import time:       310 |        310 |               openpyxl.worksheet.drawing
import time:       365 |        365 |               openpyxl.chartsheet.relation
import time:       326 |        326 |               openpyxl.chartsheet.properties
import time:       331 |        331 |               openpyxl.chartsheet.protection
import time:       340 |        340 |               openpyxl.chartsheet.views
import time:       344 |        344 |               openpyxl.chartsheet.custom
import time:       331 |        331 |               openpyxl.chartsheet.publish
import time:       594 |       2937 |             openpyxl.chartsheet.chartsheet
import time:       393 |       3330 |           openpyxl.chartsheet
import time:       456 |        456 |           openpyxl.packaging.core
import time:      1478 |       1478 |           openpyxl.packaging.custom
import time:      1748 |     135238 |         openpyxl.workbook.workbook
import time:       475 |     135713 |       openpyxl.workbook
import time:      1019 |       1019 |         openpyxl.reader
import time:       455 |        455 |           openpyxl.pivot
import time:      3214 |       3214 |           openpyxl.pivot.fields
import time:      1532 |       5201 |         openpyxl.pivot.table
import time:        90 |         90 |         openpyxl.tests
import time:       484 |        484 |         openpyxl.reader.strings
import time:       658 |        658 |               openpyxl.workbook.external_link.external
import time:       395 |       1052 |             openpyxl.workbook.external_link
import time:        36 |       1087 |           openpyxl.workbook.external_link.external
import time:      1194 |       1194 |           openpyxl.pivot.cache
import time:       455 |        455 |           openpyxl.pivot.record
import time:       480 |       3214 |         openpyxl.reader.workbook
import time:       492 |        492 |             openpyxl.chart.plotarea
import time:       411 |        411 |             openpyxl.chart.pivot
import time:       410 |        410 |             openpyxl.chart.print_settings
import time:       561 |       1873 |           openpyxl.chart.chartspace
import time:       517 |        517 |           openpyxl.chart.reader
import time:       385 |       2774 |         openpyxl.reader.drawings
import time:      1286 |      14067 |       openpyxl.reader.excel
import time:       354 |        354 |       openpyxl._constants
import time:      1098 |     232424 |     openpyxl
import time:      2028 |       2028 |       pptx.exc
import time:       424 |        424 |           pptx.opc
import time:       686 |       1109 |         pptx.opc.constants
import time:       535 |        535 |                 pptx.oxml.ns
import time:       597 |        597 |                     pptx.util
import time:      1043 |       1639 |                   pptx.oxml.simpletypes
import time:      1154 |       1154 |                   pptx.oxml.xmlchemy
import time:       378 |       3170 |                 pptx.oxml.action
import time:       405 |        405 |                   pptx.oxml.chart
import time:       354 |        354 |                     pptx.enum
import time:       833 |        833 |                     pptx.enum.base
import time:      1786 |       2972 |                   pptx.enum.chart
import time:       769 |        769 |                   pptx.oxml.chart.shared
import time:     11598 |      11598 |                     pptx.enum.lang
import time:      1278 |       1278 |                     pptx.enum.text
import time:       489 |        489 |                       pptx.oxml.dml
import time:      1397 |       1397 |                       pptx.enum.dml
import time:      1318 |       3203 |                     pptx.oxml.dml.fill
import time:      1095 |      17173 |                   pptx.oxml.text
import time:      1212 |      22529 |                 pptx.oxml.chart.axis
import time:      1815 |       1815 |                 pptx.oxml.chart.chart
import time:      1640 |       1640 |                 pptx.oxml.chart.datalabel
import time:       814 |        814 |                 pptx.oxml.chart.legend
import time:       571 |        571 |                 pptx.oxml.chart.marker
import time:       907 |        907 |                 pptx.oxml.chart.plot
import time:       865 |        865 |                 pptx.oxml.chart.series
import time:       681 |        681 |                 pptx.oxml.coreprops
import time:       581 |        581 |                 pptx.oxml.dml.color
import time:       382 |        382 |                 pptx.oxml.dml.line
import time:       510 |        510 |                 pptx.oxml.presentation
import time:       395 |        395 |                   pptx.oxml.shapes
import time:      2684 |       2684 |                   pptx.enum.shapes
import time:       490 |        490 |                       pptx.dml
import time:       575 |        575 |                       pptx.dml.color
import time:       445 |        445 |                       pptx.shared
import time:       839 |       2347 |                     pptx.dml.fill
import time:      1149 |       3496 |                   pptx.oxml.shapes.shared
import time:       991 |       7564 |                 pptx.oxml.shapes.autoshape
import time:      1677 |       1677 |                 pptx.oxml.shapes.connector
import time:      1459 |       1459 |                   pptx.oxml.table
import time:       842 |        842 |                   pptx.spec
import time:      2366 |       4666 |                 pptx.oxml.shapes.graphfrm
import time:       473 |        473 |                           xml.sax.handler
import time:       424 |        424 |                           xml.sax._exceptions
import time:       744 |       1640 |                         xml.sax.xmlreader
import time:       517 |       2157 |                       xml.sax
import time:       525 |       2682 |                     xml.sax.saxutils
import time:       535 |       3217 |                   pptx.oxml.shapes.picture
import time:       751 |       3967 |                 pptx.oxml.shapes.groupshape
import time:      1117 |       1117 |                 pptx.oxml.slide
import time:       454 |        454 |                 pptx.oxml.theme
import time:      1285 |      55721 |               pptx.oxml
import time:       625 |      56346 |             pptx.opc.oxml
import time:       602 |        602 |             pptx.opc.packuri
import time:       354 |        354 |               pptx.opc.shared
import time:       324 |        324 |               pptx.opc.spec
import time:       722 |       1398 |             pptx.opc.serialized
import time:      1016 |      59361 |           pptx.opc.package
import time:       394 |        394 |             pptx.parts
import time:       579 |        972 |           pptx.parts.coreprops
import time:       481 |        481 |           pptx.parts.image
import time:       355 |        355 |           pptx.parts.media
import time:       504 |      61671 |         pptx.package
import time:       816 |      63596 |       pptx.api
import time:      1223 |       1223 |           pptx.chart
import time:       392 |        392 |               pptx.dml.line
import time:       430 |        822 |             pptx.dml.chtfmt
import time:       342 |        342 |               pptx.text
import time:       404 |        404 |               pptx.shapes
import time:       697 |        697 |               pptx.text.fonts
import time:       493 |        493 |                   PIL._typing
import time:      2421 |       2421 |                   PIL._imagingft
import time:       907 |       3820 |                 PIL.ImageFont
import time:       548 |       4368 |               pptx.text.layout
import time:       844 |       6652 |             pptx.text.text
import time:       784 |       8257 |           pptx.chart.axis
import time:       562 |        562 |           pptx.chart.legend
import time:       474 |        474 |             pptx.chart.category
import time:       480 |        480 |             pptx.chart.datalabel
import time:       375 |        375 |               pptx.chart.marker
import time:       426 |        426 |               pptx.chart.point
import time:       551 |       1351 |             pptx.chart.series
import time:       664 |       2968 |           pptx.chart.plot
import time:       925 |        925 |           pptx.chart.xmlwriter
import time:      2124 |      16058 |         pptx.chart.chart
import time:       498 |        498 |         pptx.parts.embeddedpackage
import time:       404 |      16958 |       pptx.parts.chart
import time:       473 |        473 |               pptx.media
import time:       652 |        652 |                     pptx.enum.action
import time:       488 |       1140 |                   pptx.action
import time:       354 |        354 |                   pptx.dml.effect
import time:       530 |       2022 |                 pptx.shapes.base
import time:       580 |       2602 |               pptx.shapes.autoshape
import time:       414 |        414 |               pptx.shapes.connector
import time:       585 |        585 |               pptx.shapes.freeform
import time:       755 |        755 |                 pptx.table
import time:       460 |       1215 |               pptx.shapes.graphfrm
import time:       411 |        411 |               pptx.shapes.group
import time:       447 |        447 |               pptx.shapes.picture
import time:       577 |        577 |               pptx.shapes.placeholder
import time:      1127 |       7847 |             pptx.shapes.shapetree
import time:       904 |       8750 |           pptx.slide
import time:      1291 |      10041 |         pptx.parts.slide
import time:       493 |        493 |         pptx.presentation
import time:      2151 |      12684 |       pptx.parts.presentation
import time:       976 |      96240 |     pptx
import time:        89 |         89 |       _csv
import time:       662 |        751 |     csv
import time:       565 |     523747 |   apps.workspace.services.document_processor
import time:       384 |        384 |   apps.workspace.services.chunk_service
import time:       249 |        249 |     google
import time:      1496 |       1496 |                   google.genai._interactions._utils._path
import time:       548 |        548 |                         anyio._core
import time:       785 |       1333 |                       anyio._core._contextmanagers
import time:      2538 |       2538 |                         anyio._core._exceptions
import time:       522 |        522 |                           sniffio._version
import time:       376 |        376 |                           sniffio._impl
import time:       785 |       1682 |                         sniffio
import time:       544 |       4763 |                       anyio._core._eventloop
import time:       643 |        643 |                             anyio.abc._eventloop
import time:       405 |        405 |                             anyio.abc._resources
import time:       399 |        399 |                               anyio._core._typedattr
import time:       472 |        472 |                                 anyio.abc._tasks
import time:       849 |       1320 |                               anyio.abc._streams
import time:      2740 |       4458 |                             anyio.abc._sockets
import time:       964 |        964 |                             anyio.abc._subprocesses
import time:       506 |        506 |                             anyio.abc._testing
import time:      1123 |       1123 |                               anyio.lowlevel
import time:       687 |        687 |                               anyio._core._tasks
import time:       402 |        402 |                               anyio._core._testing
import time:      2697 |       4907 |                             anyio._core._synchronization
import time:      1117 |       1117 |                             anyio.from_thread
import time:       595 |      13592 |                           anyio.abc
import time:       375 |      13966 |                         anyio.to_thread
import time:      1052 |      15018 |                       anyio._core._fileio
import time:       450 |        450 |                       anyio._core._resources
import time:       397 |        397 |                       anyio._core._signals
import time:       380 |        380 |                           anyio.streams
import time:      1292 |       1671 |                         anyio.streams.stapled
import time:      1139 |       1139 |                         anyio.streams.tls
import time:      1119 |       3929 |                       anyio._core._sockets
import time:      4086 |       4086 |                         anyio.streams.memory
import time:       557 |       4642 |                       anyio._core._streams
import time:       709 |        709 |                       anyio._core._subprocesses
import time:       745 |        745 |                       anyio._core._tempfile
import time:      1129 |      33112 |                     anyio
import time:       545 |      33656 |                   google.genai._interactions._utils._sync
import time:       670 |        670 |                   google.genai._interactions._utils._proxy
import time:       457 |        457 |                         httpx.__version__
import time:       653 |        653 |                               httpx._exceptions
import time:      1067 |       1067 |                                     httpx._types
import time:       448 |        448 |                                     httpx._utils
import time:       657 |       2171 |                                   httpx._multipart
import time:       553 |       2724 |                                 httpx._content
import time:       161 |        161 |                                   brotli
import time:       120 |        120 |                                   brotlicffi
import time:       122 |        122 |                                   zstandard
import time:       585 |        986 |                                 httpx._decoders
import time:      1223 |       1223 |                                 httpx._status_codes
import time:      2268 |       2268 |                                   httpx._urlparse
import time:       726 |       2993 |                                 httpx._urls
import time:      1133 |       9058 |                               httpx._models
import time:       929 |      10639 |                             httpx._auth
import time:       990 |        990 |                             httpx._config
import time:       441 |        441 |                                   httpx._transports.base
import time:       694 |       1135 |                                 httpx._transports.asgi
import time:       663 |        663 |                                 httpx._transports.default
import time:       444 |        444 |                                 httpx._transports.mock
import time:       426 |        426 |                                 httpx._transports.wsgi
import time:       624 |       3289 |                               httpx._transports
import time:        39 |       3328 |                             httpx._transports.base
import time:      1022 |      15977 |                           httpx._client
import time:       392 |      16368 |                         httpx._api
import time:      1510 |       1510 |                                   click._winconsole
import time:       702 |       2212 |                                 click._compat
import time:       386 |        386 |                                   click.globals
import time:       508 |        508 |                                   click.utils
import time:       737 |       1630 |                                 click.exceptions
import time:      1923 |       5764 |                               click.types
import time:       522 |        522 |                               click._utils
import time:      1369 |       1369 |                                 click.parser
import time:       571 |       1939 |                               click.formatting
import time:      1486 |       1486 |                               click.termui
import time:      2054 |      11763 |                             click.core
import time:       944 |        944 |                             click.decorators
import time:       651 |      13357 |                           click
import time:       559 |        559 |                               rich._extension
import time:       742 |       1300 |                             rich
import time:       517 |        517 |                             rich._null_file
import time:       406 |        406 |                             rich.errors
import time:       411 |        411 |                                     colorsys
import time:       556 |        556 |                                         rich.color_triplet
import time:       458 |       1014 |                                       rich.palette
import time:       343 |       1356 |                                     rich._palettes
import time:       792 |        792 |                                     rich.repr
import time:       478 |        478 |                                     rich.terminal_theme
import time:      1208 |       4243 |                                   rich.color
import time:       824 |       5067 |                                 rich.style
import time:       703 |       5769 |                               rich.default_styles
import time:       524 |        524 |                               rich.theme
import time:       348 |       6640 |                             rich.themes
import time:       537 |        537 |                             rich._emoji_replace
import time:       392 |        392 |                             rich._export_format
import time:       316 |        316 |                             rich._fileno
import time:       682 |        682 |                                 rich._loop
import time:      1133 |       1133 |                                 rich._pick
import time:       549 |        549 |                                       rich._unicode_data._versions
import time:       562 |       1110 |                                     rich._unicode_data
import time:      1184 |       2294 |                                   rich.cells
import time:      3478 |       5771 |                                 rich._wrap
import time:      1214 |       1214 |                                       rich.segment
import time:       438 |       1651 |                                     rich.jupyter
import time:       347 |        347 |                                       rich.protocol
import time:       619 |        966 |                                     rich.measure
import time:       385 |       3001 |                                   rich.constrain
import time:       574 |       3575 |                                 rich.align
import time:       977 |        977 |                                 rich.containers
import time:       549 |        549 |                                 rich.control
import time:       473 |        473 |                                 rich.emoji
import time:      1292 |      14450 |                               rich.text
import time:       450 |      14899 |                             rich._log_render
import time:       578 |        578 |                             rich.highlighter
import time:       868 |        868 |                             rich.markup
import time:       421 |        421 |                             rich.pager
import time:       474 |        474 |                             rich.region
import time:       371 |        371 |                             rich.screen
import time:       580 |        580 |                             rich.styled
import time:      5163 |      33455 |                           rich.console
import time:        95 |         95 |                             mmap
import time:       483 |        483 |                             rich.filesize
import time:      1027 |       1027 |                                 rich.ansi
import time:       407 |       1434 |                               rich.file_proxy
import time:       478 |        478 |                               rich.live_render
import time:       572 |       2482 |                             rich.live
import time:       486 |        486 |                             rich.progress_bar
import time:       419 |        419 |                               rich._spinners
import time:       566 |        566 |                                 rich.box
import time:       545 |        545 |                                 rich._ratio
import time:       467 |        467 |                                 rich.padding
import time:      1935 |       3510 |                               rich.table
import time:       488 |       4416 |                             rich.spinner
import time:      2157 |      10117 |                           rich.progress
import time:      1150 |       1150 |                           rich.syntax
import time:       948 |      59025 |                         httpx._main
import time:       632 |      76482 |                       httpx
import time:      1318 |       1318 |                                 pydantic_core._pydantic_core
import time:      8604 |       8604 |                                 pydantic_core.core_schema
import time:       911 |      10833 |                               pydantic_core
import time:       401 |      11234 |                             pydantic.version
import time:       649 |      11882 |                           pydantic.warnings
import time:      1281 |      13163 |                         pydantic._migration
import time:       527 |        527 |                             typing_inspection
import time:      2315 |       2315 |                             typing_inspection.typing_objects
import time:      2453 |       5294 |                           typing_inspection.introspection
import time:       673 |        673 |                           pydantic._internal
import time:       839 |        839 |                               pydantic._internal._namespace_utils
import time:       699 |       1537 |                             pydantic._internal._typing_extra
import time:       692 |       2229 |                           pydantic._internal._repr
import time:       875 |       9069 |                         pydantic.errors
import time:      2498 |      24729 |                       pydantic
import time:       314 |        314 |                           pydantic._internal._internal_dataclass
import time:      1235 |       1548 |                         pydantic.aliases
import time:      1180 |       1180 |                         pydantic.config
import time:       596 |       3324 |                       pydantic._internal._config
import time:       552 |        552 |                         pydantic._internal._core_utils
import time:       349 |        349 |                           pydantic._internal._import_utils
import time:      1035 |       1384 |                         pydantic._internal._utils
import time:      4369 |       6303 |                       pydantic._internal._decorators
import time:      1117 |       1117 |                           pydantic._internal._forward_ref
import time:      3662 |       4778 |                         pydantic._internal._generics
import time:       530 |        530 |                         pydantic._internal._docs_extraction
import time:      1792 |       7100 |                       pydantic._internal._fields
import time:       761 |        761 |                           pydantic.plugin
import time:       596 |       1356 |                         pydantic.plugin._schema_validator
import time:       592 |       1948 |                       pydantic._internal._mock_val_ser
import time:       467 |        467 |                           pydantic.annotated_handlers
import time:      3077 |       3077 |                           pydantic.functional_validators
import time:      1525 |       1525 |                             pydantic._internal._core_metadata
import time:       933 |        933 |                             pydantic._internal._schema_generation_shared
import time:      2698 |       5155 |                           pydantic.json_schema
import time:       737 |        737 |                           pydantic._internal._discriminated_union
import time:       575 |        575 |                           pydantic._internal._known_annotated_metadata
import time:       847 |        847 |                           pydantic._internal._schema_gather
import time:      1503 |      12358 |                         pydantic._internal._generate_schema
import time:       441 |        441 |                         pydantic._internal._signature
import time:       807 |      13605 |                       pydantic._internal._model_construction
import time:      3210 |     136698 |                     google.genai._interactions._types
import time:       591 |     137289 |                   google.genai._interactions._utils._utils
import time:      1111 |       1111 |                     google.genai._interactions._utils._datetime_parse
import time:       544 |       1654 |                   google.genai._interactions._utils._compat
import time:       453 |        453 |                   google.genai._interactions._utils._typing
import time:       374 |        374 |                   google.genai._interactions._utils._streams
import time:       509 |        509 |                     google.genai._interactions._files
import time:       495 |       1004 |                   google.genai._interactions._utils._transform
import time:       341 |        341 |                   google.genai._interactions._utils._reflection
import time:      1710 |     178642 |                 google.genai._interactions._utils
import time:      8524 |       8524 |                       annotated_types
import time:       869 |        869 |                       pydantic._internal._validators
import time:      5644 |       5644 |                       pydantic.types
import time:      2376 |      17411 |                     pydantic.fields
import time:       472 |        472 |                       pydantic.plugin._loader
import time:     13164 |      13636 |                     google.genai._interactions._compat
import time:       665 |        665 |                     google.genai._interactions._constants
import time:      2319 |       2319 |                     pydantic._internal._serializers
import time:      6715 |      40744 |                   google.genai._interactions._models
import time:       716 |        716 |                       google.genai._interactions.types.url_citation
import time:       852 |        852 |                       google.genai._interactions.types.file_citation
import time:       949 |        949 |                       google.genai._interactions.types.place_citation
import time:       567 |       3083 |                     google.genai._interactions.types.annotation
import time:       971 |       4053 |                   google.genai._interactions.types.text_content
import time:      1008 |       1008 |                   google.genai._interactions.types.image_content
import time:       685 |      46488 |                 google.genai._interactions.types.thought_step
import time:       821 |        821 |                     google.genai._interactions.types.audio_content
import time:       766 |        766 |                     google.genai._interactions.types.video_content
import time:       751 |        751 |                     google.genai._interactions.types.document_content
import time:       437 |       2775 |                   google.genai._interactions.types.content
import time:       639 |       3414 |                 google.genai._interactions.types.user_input_step
import time:       634 |        634 |                 google.genai._interactions.types.model_output_step
import time:       669 |        669 |                 google.genai._interactions.types.function_call_step
import time:       772 |        772 |                 google.genai._interactions.types.function_result_step
import time:       624 |        624 |                 google.genai._interactions.types.file_search_call_step
import time:      1430 |       1430 |                 google.genai._interactions.types.google_maps_call_step
import time:      2669 |       2669 |                 google.genai._interactions.types.url_context_call_step
import time:       961 |        961 |                 google.genai._interactions.types.file_search_result_step
import time:      1484 |       1484 |                 google.genai._interactions.types.google_maps_result_step
