import time: self [us] | cumulative | imported package
import time:       898 |       3801 |                         shutil
import time:        48 |         48 |                             _bisect
import time:       437 |        484 |                           bisect
import time:        35 |         35 |                           _random
import time:       804 |       1322 |                         random
import time:       922 |       6044 |                       tempfile
import time:       545 |       6588 |                     asyncio.windows_utils
import time:       927 |      13377 |                   asyncio.windows_events
import time:       543 |      54199 |                 asyncio
import time:       544 |        544 |                   asgiref
import time:       542 |        542 |                       _queue
import time:       536 |       1078 |                     queue
import time:       491 |       1568 |                   concurrent.futures.thread
import time:       566 |        566 |                   asgiref.current_thread_executor
import time:       478 |        478 |                   asgiref.local
import time:      1156 |       4310 |                 asgiref.sync
import time:       550 |      59058 |               django.dispatch.dispatcher
import time:       369 |      59426 |             django.dispatch
import time:       334 |      59760 |           django.core.signals
import time:       539 |        539 |             django.core.cache.backends
import time:      1090 |       1629 |           django.core.cache.backends.base
import time:      1095 |       1095 |           django.utils.connection
import time:       543 |      63026 |         django.core.cache
import time:       575 |        575 |             _compat_pickle
import time:       126 |        126 |             _pickle
import time:      1237 |       1938 |           pickle
import time:      1477 |       1477 |             _hashlib
import time:        62 |         62 |             _blake2
import time:       562 |       2100 |           hashlib
import time:       418 |        418 |               django.core.files.utils
import time:       602 |       1019 |             django.core.files.base
import time:       523 |       1542 |           django.core.files
import time:      2008 |       2008 |               _ctypes
import time:       842 |        842 |               ctypes._endian
import time:      1133 |       3982 |             ctypes
import time:       854 |        854 |             ctypes.wintypes
import time:       495 |       5330 |           django.core.files.locks
import time:       420 |        420 |           django.core.files.move
import time:       388 |        388 |           django.utils._os
import time:      1087 |      12802 |         django.core.cache.backends.filebased
import time:       582 |      76409 |       django.core.checks.caches
import time:       424 |        424 |       django.core.checks.commands
import time:       373 |        373 |         django.core.checks.compatibility
import time:       786 |       1159 |       django.core.checks.compatibility.django_4_0
import time:      1022 |       1022 |           django.db.utils
import time:       981 |       2003 |         django.db
import time:       792 |       2794 |       django.core.checks.database
import time:       670 |        670 |       django.core.checks.files
import time:       545 |        545 |       django.core.checks.model_checks
import time:       425 |        425 |         django.core.checks.security
import time:      1079 |       1504 |       django.core.checks.security.base
import time:       508 |        508 |       django.core.checks.security.csrf
import time:       461 |        461 |       django.core.checks.security.sessions
import time:       399 |        399 |       django.core.checks.templates
import time:       719 |        719 |               numbers
import time:      1002 |       1721 |             _decimal
import time:       429 |       2149 |           decimal
import time:       165 |        165 |             termios
import time:       121 |        121 |             pywatchman
import time:       790 |       1074 |           django.utils.autoreload
import time:       667 |       3889 |         django.utils.translation
import time:       552 |        552 |           django.conf.locale
import time:       614 |        614 |           django.utils.safestring
import time:       828 |       1993 |         django.utils.translation.trans_real
import time:       476 |       6357 |       django.core.checks.translation
import time:       582 |        582 |       django.core.checks.urls
import time:       964 |      95745 |     django.core.checks
import time:       417 |        417 |       django.utils.termcolors
import time:       932 |        932 |             colorama.ansi
import time:       929 |        929 |               colorama.win32
import time:      1250 |       2179 |             colorama.winterm
import time:       748 |       3857 |           colorama.ansitowin32
import time:       587 |       4444 |         colorama.initialise
import time:       521 |       4964 |       colorama
import time:       512 |       5893 |     django.core.management.color
import time:      1763 |     103400 |   django.core.management.base
import time:       837 |     158499 | django.core.management
import time:        73 |         73 |   _locale
import time:      1239 |       1311 | locale
import time:       390 |        390 |       urllib
import time:      1521 |       1521 |       ipaddress
import time:      1190 |       3100 |     urllib.parse
import time:       896 |        896 |         http
import time:      1312 |       1312 |         http.cookies
import time:       531 |       2738 |       django.http.cookie
import time:        67 |         67 |                 _json
import time:       523 |        589 |               json.scanner
import time:       873 |       1461 |             json.decoder
import time:       980 |        980 |             json.encoder
import time:       569 |       3009 |           json
import time:       929 |        929 |             hmac
import time:       681 |        681 |             secrets
import time:       755 |        755 |             django.utils.encoding
import time:       906 |       3270 |           django.utils.crypto
